Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
668,Sutton,Cheam Park Farm Junior School,30.5,Academy Converter,Primary
649,Sutton,Cheam Fields Primary School,30.4,Community School,Primary
625,Sutton,Manor Park Primary School,30.3,Community School,Primary
624,Sutton,St Dunstan's Cheam CofE Primary School,30.3,Voluntary Aided School,Primary
604,Sutton,Sutton Grammar School,30.2,Academy Converter,Secondary
603,Sutton,Avenue Primary Academy,30.2,Academy Converter,Primary
527,Sutton,Wilson's School,29.8,Academy Converter,Secondary
514,Sutton,Carew Academy,29.7,Academy Special Sponsor Led,Not applicable
497,Sutton,Dorchester Primary School,29.6,Community School,Primary
496,Sutton,Homefield Preparatory School,29.6,Other Independent School,Not applicable
495,Sutton,Greenshaw High School,29.6,Academy Converter,Secondary
472,Sutton,Thomas Wall Nursery School,29.5,LA Nursery School,Nursery
471,Sutton,The Limes College,29.5,Pupil Referral Unit,Not applicable
470,Sutton,Robin Hood Infants' School,29.5,Community School,Primary
469,Sutton,Foresters Primary School,29.5,Community School,Primary
452,Sutton,Devonshire Primary School,29.4,Community School,Primary
438,Sutton,St Elphege's RC Junior School,29.3,Voluntary Aided School,Primary
437,Sutton,St Elphege's RC Infants' School,29.3,Voluntary Aided School,Primary
404,Sutton,Barrow Hedges Primary School,29.1,Community School,Primary
383,Sutton,Cheam High School,29,Academy Converter,Secondary
371,Sutton,Amy Johnson Primary School,28.9,Community School,Primary
370,Sutton,Nonsuch High School for Girls,28.9,Academy Converter,Secondary
311,Sutton,Seaton House School,28.4,Other Independent School,Not applicable
286,Sutton,Focus School - Carshalton Campus,28.3,Other Independent School,Not applicable
285,Sutton,Overton Grange School,28.3,Academy Converter,Secondary
248,Sutton,The John Fisher School,28,Voluntary Aided School,Secondary
247,Sutton,Sutton Tuition and Reintegration Service,28,Pupil Referral Unit,Not applicable
213,Sutton,Stanley Park High School,27.6,Community School,Secondary
3261,Tower Hamlets,Courtauld Institute of Art,73.10,Higher Education Institutions,Not applicable
3240,Tower Hamlets,Woolmore Primary School,61.80,Community School,Primary
3239,Tower Hamlets,Al Ashraaf Secondary School,61.30,Other Independent School,Not applicable
3220,Tower Hamlets,Canon Barnett Primary School,57.20,Community School,Primary
3209,Tower Hamlets,English Martyrs Roman Catholic Primary School,55.9,Voluntary Aided School,Primary
3207,Tower Hamlets,Green Gables Montessori Primary School,55.6,Other Independent School,Not applicable
3170,Tower Hamlets,Workers' Educational Association,52.4,Further Education,16 Plus
3164,Tower Hamlets,Culloden Primary - A Paradigm Academy,52.1,Academy Converter,Primary
3155,Tower Hamlets,Shapla Primary School,51.6,Community School,Primary
3154,Tower Hamlets,St Paul's Whitechapel Church of England Primary School,51.6,Voluntary Aided School,Primary
3152,Tower Hamlets,Bow School,51.5,Community School,Secondary
3130,Tower Hamlets,Blue Gate Fields Junior School,50.3,Community School,Primary
3129,Tower Hamlets,Blue Gate Fields Infants' School,50.3,Community School,Primary
3099,Tower Hamlets,Stephen Hawking School,49,Community Special School,Not applicable
3095,Tower Hamlets,Marner Primary School,48.9,Community School,Primary
3094,Tower Hamlets,Opal College London,48.9,Other Independent School,Not applicable
3086,Tower Hamlets,Wapping High School,48.6,Free Schools,Secondary
3080,Tower Hamlets,Buttercup Primary School,48.5,Other Independent School,Not applicable
3068,Tower Hamlets,Guardian Angels Roman Catholic Primary School,48.1,Voluntary Aided School,Primary
3067,Tower Hamlets,Al-Mizan School,48.1,Other Independent School,Not applicable
3066,Tower Hamlets,London East Academy,48.1,Other Independent School,Not applicable
3056,Tower Hamlets,St Agnes RC Primary School,47.8,Voluntary Aided School,Primary
3043,Tower Hamlets,Madani Secondary Girls' School,47.5,Other Independent School,Not applicable
3017,Tower Hamlets,London Enterprise Academy,47,Free Schools,Secondary
3012,Tower Hamlets,Mulberry School for Girls,46.9,Community School,Secondary
3000,Tower Hamlets,Columbia Market Nursery School,46.6,LA Nursery School,Nursery
2988,Tower Hamlets,East London Islamic School,46.3,Other Independent School,Not applicable
2987,Tower Hamlets,Date Palm Primary School,46.3,Other Independent School,Not applicable
2983,Tower Hamlets,Alice Model Nursery School,46.2,LA Nursery School,Nursery
2969,Tower Hamlets,Mazahirul Uloom London School,45.9,Other Independent School,Not applicable
2963,Tower Hamlets,Queen Mary and Westfield College,45.7,Higher Education Institutions,Not applicable
2950,Tower Hamlets,Harry Gosling Primary School,45.3,Community School,Primary
2920,Tower Hamlets,Our Lady and St Joseph Catholic Primary School,45,Voluntary Aided School,Primary
2912,Tower Hamlets,Kobi Nazrul Primary School,44.9,Community School,Primary
2897,Tower Hamlets,Ebrahim Academy,44.7,Other Independent School,Not applicable
2882,Tower Hamlets,St John's Church of England Primary School Bethnal Green,44.5,Voluntary Aided School,Primary
2881,Tower Hamlets,Darul Hadis Latifiah,44.5,Other Independent School,Not applicable
2868,Tower Hamlets,Ian Mikardo School,44.3,Community Special School,Not applicable
2867,Tower Hamlets,St Mary and St Michael Primary School,44.3,Voluntary Aided School,Primary
2866,Tower Hamlets,The Pier Head Preparatory Montessori School,44.3,Other Independent School,Not applicable
2857,Tower Hamlets,Solebay Primary - A Paradigm Academy,44.2,Free Schools,Primary
2849,Tower Hamlets,Virginia Primary School,44.1,Community School,Primary
2848,Tower Hamlets,Phoenix School,44.1,Community Special School,Not applicable
2832,Tower Hamlets,Sir William Burrough Primary School,43.8,Academy Converter,Primary
2823,Tower Hamlets,Bishop Challoner Catholic Federations of Boys School,43.7,Voluntary Aided School,Secondary
2817,Tower Hamlets,Bishop Challoner Catholic Federations of Girls School,43.6,Voluntary Aided School,Secondary
2797,Tower Hamlets,St Matthias Church of England Primary School,43.4,Voluntary Aided School,Primary
2769,Tower Hamlets,Old Palace Primary School,43.1,Community School,Primary
2764,Tower Hamlets,Bonner Primary School,42.9,Community School,Primary
2763,Tower Hamlets,Globe Primary School,42.9,Community School,Primary
2762,Tower Hamlets,Marion Richardson Primary School,42.9,Community School,Primary
2761,Tower Hamlets,Christ Church CofE School,42.9,Voluntary Aided School,Primary
2751,Tower Hamlets,Tower Hamlets College,42.8,Further Education,16 Plus
2745,Tower Hamlets,Mayflower Primary School,42.7,Community School,Primary
2744,Tower Hamlets,Bigland Green Primary School,42.7,Community School,Primary
2732,Tower Hamlets,Central Foundation Girls' School,42.5,Voluntary Aided School,Secondary
2715,Tower Hamlets,St Paul with St Luke CofE Primary School,42.2,Voluntary Aided School,Primary
2687,Tower Hamlets,Raine's Foundation School,41.9,Voluntary Aided School,Secondary
2675,Tower Hamlets,Ayasofia Primary School,41.8,Other Independent School,Not applicable
2653,Tower Hamlets,The Complete Works Independent School,41.6,Other Independent School,Not applicable
2640,Tower Hamlets,Elizabeth Selby Infants' School,41.5,Community School,Primary
2639,Tower Hamlets,East London Arts & Music,41.5,Free Schools - 16-19,Secondary
2627,Tower Hamlets,Cyril Jackson Primary School,41.4,Community School,Primary
2615,Tower Hamlets,The Clara Grant Primary School,41.3,Community School,Primary
2583,Tower Hamlets,Jamiatul Ummah School,41,Other Independent School,Not applicable
2521,Tower Hamlets,Thomas Buxton Primary School,40.5,Community School,Primary
2520,Tower Hamlets,Osmani Primary School,40.5,Community School,Primary
2507,Tower Hamlets,Lawdale Junior School,40.4,Community School,Primary
2506,Tower Hamlets,Bethnal Green Academy,40.4,Academy Converter,Secondary
2494,Tower Hamlets,Hague Primary School,40.3,Community School,Primary
2493,Tower Hamlets,London Islamic School,40.3,Other Independent School,Not applicable
2477,Tower Hamlets,Columbia Primary School,40.2,Community School,Primary
2476,Tower Hamlets,The Stepney Greencoat Church of England Primary School,40.2,Voluntary Aided School,Primary
2475,Tower Hamlets,Oaklands School,40.2,Community School,Secondary
2464,Tower Hamlets,The Cherry Trees School,40.1,Community Special School,Not applicable
2450,Tower Hamlets,Hermitage Primary School,40,Community School,Primary
2432,Tower Hamlets,Olga Primary School,39.9,Community School,Primary
2431,Tower Hamlets,William Davis Primary School,39.9,Community School,Primary
2430,Tower Hamlets,Gatehouse School,39.9,Other Independent School,Not applicable
2424,Tower Hamlets,Stewart Headlam Primary School,39.8,Community School,Primary
2423,Tower Hamlets,Bangabandhu Primary School,39.8,Community School,Primary
2409,Tower Hamlets,Swanlea School,39.7,Community School,Secondary
2395,Tower Hamlets,Tower Hamlets PRU,39.6,Pupil Referral Unit,Not applicable
2394,Tower Hamlets,Mowlem Primary School,39.6,Community School,Primary
2393,Tower Hamlets,Redlands Primary School,39.6,Community School,Primary
2392,Tower Hamlets,Stepney Green Mathematics and Computing College,39.6,Community School,Secondary
2377,Tower Hamlets,St Paul's Way Trust School,39.5,Foundation School,All Through
2376,Tower Hamlets,Excellence Christian School,39.5,Other Independent School,Not applicable
2359,Tower Hamlets,John Scurr Primary School,39.4,Community School,Primary
2345,Tower Hamlets,St Anne's Catholic Primary School,39.3,Voluntary Aided School,Primary
2329,Tower Hamlets,Rachel Keeling Nursery School,39.2,LA Nursery School,Nursery
2328,Tower Hamlets,St Edmund's Catholic School,39.2,Voluntary Aided School,Primary
2314,Tower Hamlets,Chisenhale Primary School,39.1,Community School,Primary
2313,Tower Hamlets,St Peter's London Docks CofE Primary School,39.1,Voluntary Aided School,Primary
2295,Tower Hamlets,Smithy Street School,39,Community School,Primary
2264,Tower Hamlets,Halley Primary School,38.8,Community School,Primary
2250,Tower Hamlets,Childrens House Nursery School,38.7,LA Nursery School,Nursery
2249,Tower Hamlets,Wellington Primary School,38.7,Community School,Primary
2195,Tower Hamlets,Harbinger Primary School,38.4,Community School,Primary
2194,Tower Hamlets,Sir John Cass Foundation and Redcoat Church of England Secondary School,38.4,Voluntary Aided School,Secondary
2193,Tower Hamlets,St Elizabeth Catholic Primary School,38.4,Voluntary Aided School,Primary
2178,Tower Hamlets,Bygrove Primary School,38.3,Community School,Primary
2163,Tower Hamlets,Stebon Primary School,38.2,Community School,Primary
2162,Tower Hamlets,Old Ford Primary - A Paradigm Academy,38.2,Academy Converter,Primary
2143,Tower Hamlets,Old Church Nursery School,38.1,LA Nursery School,Nursery
2127,Tower Hamlets,Cayley Primary School,38,Community School,Primary
2126,Tower Hamlets,St Saviour's Church of England Primary School Tower Hamlets,38,Voluntary Aided School,Primary
2125,Tower Hamlets,Langdon Park Community School,38,Community School,Secondary
2106,Tower Hamlets,St Luke's Church of England Primary School Tower Hamlets,37.9,Voluntary Aided School,Primary
2090,Tower Hamlets,Cubitt Town Junior School,37.8,Community School,Primary
2089,Tower Hamlets,Manorfield Primary School,37.8,Community School,Primary
2088,Tower Hamlets,Cubitt Town Infants' School,37.8,Community School,Primary
2087,Tower Hamlets,Morpeth School,37.8,Community School,Secondary
2086,Tower Hamlets,Arnhem Wharf Primary School,37.8,Community School,Primary
2054,Tower Hamlets,Harry Roberts Nursery School,37.6,LA Nursery School,Nursery
2053,Tower Hamlets,Ben Jonson Primary School,37.6,Community School,Primary
2052,Tower Hamlets,Beatrice Tate School,37.6,Community Special School,Not applicable
2012,Tower Hamlets,George Green's School,37.4,Voluntary Controlled School,Secondary
1991,Tower Hamlets,Malmesbury Primary School,37.3,Community School,Primary
1979,Tower Hamlets,Seven Mills Primary School,37.2,Community School,Primary
1949,Tower Hamlets,Lansbury Lawrence Primary School,37,Community School,Primary
1844,Tower Hamlets,Faraday School,36.4,Other Independent School,Not applicable
1767,Tower Hamlets,Canary Wharf College,35.9,Free Schools,Primary
1766,Tower Hamlets,Canary Wharf College 2,35.9,Free Schools,Primary
1728,Tower Hamlets,City Gateway 14-19 Provision,35.7,Free Schools - Alternative Provision,Not applicable
1663,Tower Hamlets,River House Montessori School,35.4,Other Independent School,Not applicable
3049,Waltham Forest,Connaught School for Girls,47.6,Academy Converter,Secondary
2696,Waltham Forest,Sybourn Primary School,42,Academy Sponsor Led,Primary
2391,Waltham Forest,Willowfield Humanities College,39.6,Community School,Secondary
2344,Waltham Forest,George Tomlinson Primary School,39.3,Community School,Primary
2230,Waltham Forest,Belmont Park School,38.6,Community Special School,Not applicable
2161,Waltham Forest,Dawlish Primary School,38.2,Community School,Primary
2160,Waltham Forest,The Woodside Primary Academy,38.2,Academy Sponsor Led,Primary
2105,Waltham Forest,Mayville Primary School,37.9,Community School,Primary
